,delta_power,theta_power,alpha_power,beta_power,gamma_power
28,1092449432.1317039,824369319.0493774,726780789.3583846,1574273489.485505,8687977812.88255
29,1671589826.2129955,2252898268.3340364,1182884225.0111773,1742868806.2788858,20867363187.663467
30,1367736271.3571265,806297107.3831825,1104793953.6922028,1789149981.7764232,9820445605.328375
31,965439445.4841002,695868907.8155375,656364902.9801785,1354388950.4116015,8537635996.609718
32,1516913579.3852484,907713776.6032585,805762404.6259526,2079628955.645518,10332843875.27378
33,3996411893.512961,1801439448.1490781,1497736211.5975058,3013980442.0897017,18452525122.210274
34,1933824780.8488479,3077467129.814274,1790186547.1513493,3560013825.646293,53082028323.04995
35,1349044368.9786487,1163674750.5967116,617067299.2326616,1536892373.685869,11532782666.26735
36,2006300646.242364,2952227576.24442,2331037921.1476603,3834343166.5402527,66167760171.90187
37,1534171231.4574788,2816884628.205201,1832426446.365273,3363893050.80576,66349734902.80994
38,1660692163.3320823,2176090002.5006733,1151309650.714089,3162912910.5098915,55166888471.19443
39,1351626172.9196641,2070712232.5011206,872997259.4008822,1449413401.1922731,25642036567.984406
40,1372626910.862019,2533929589.917838,1227807262.6953092,3612026148.3333054,69470375232.00058
41,305959339.50691056,262067794.22733134,279521620.40065455,655208817.9217349,5663070414.640195
42,390914031.7424208,416924028.99378014,591022417.5885938,969011543.6719444,7793982794.758498
43,957225662.193587,627786507.056912,472493852.4180211,1005914912.8595201,9056476760.65544
44,1208638893.8236601,1767456544.3443074,862528592.9466133,1406650121.0983832,41323276907.07137
45,2485170738.184901,1083647168.282796,1071782041.1070055,1325189758.0087574,29680898326.98169
46,694889973.6050766,1039063204.0434097,842155223.1912072,1762097126.9974575,6811704342.955391
47,1139703821.3038754,2074612118.0014496,1271919937.0416713,1558994022.4765754,17615254658.86815
48,1439769096.2479613,1742545121.801509,1612619839.216886,1944731894.0259304,9484963226.690956
49,929357162.8311629,810461648.7229657,509292104.5217122,872183518.0965638,9004044313.1232
50,585743166.2247354,587580133.3873591,389231724.9921474,834344604.4390059,4053713125.004489
51,271027183.582661,687548291.1382931,223774594.19543567,920207785.2798223,8322504427.5165
52,733166879.0160294,1066906568.6696866,557154839.8349565,1381047547.8262196,25792586931.011063
53,1386867282.19168,1149729637.240759,659864276.9730766,1617645442.2856197,31940670374.323048
54,746486619.1629988,715151419.5605922,806216082.5889509,1792175980.3211548,5848567032.720171
55,686181562.3808995,724242122.8935095,689384268.2004282,1606562592.3429453,27792527221.32984
56,645518164.3846118,825236523.1910121,951320005.9676148,1903351149.8591578,6535413321.6249485
57,544060741.5159014,1125849822.8740206,1227749331.072588,2622523939.768904,13251766862.418482
58,954377154.9228961,1104809727.5165362,1179330917.6522336,1859467315.7119646,11241439686.931309
59,1390194671.2270484,1114956528.0987182,1086650334.4971075,3318825477.9761815,20059183142.479126
60,1772329220.6375406,1542077285.3142562,2674449878.117147,2744172044.3573546,15656197338.596931
61,901271474.6931312,834627105.5756764,1630959699.458375,2196585890.3887396,15736518780.298267
62,1399532428.6939874,1029540497.7729526,787347212.506426,2264208417.273117,21700424767.002014
63,1969370493.9492433,1934388589.3617797,1837737434.3703175,5185789693.803187,34986243355.51197
64,3624482547.2982874,1499016608.1414828,2883392328.758579,5122929990.570267,30930165628.645695
65,2252474088.143269,2758338471.451825,1767981572.9217231,3157432593.6348686,13455673529.688349
66,1902911133.791223,2693395622.7593317,2653521408.065769,6934262143.364346,37731471625.72222
67,1675301567.9443276,1390875007.47933,3643198616.0198755,4781154238.15721,20664256303.518692
68,2191053870.873449,1112536949.1952724,2683934537.5563335,2678684058.682707,18453323532.41047
69,869661551.8362546,1004182442.9893243,824624822.2873333,2790736195.2831607,11927116218.434206
70,1008334202.4313211,1469518560.2597113,911125036.115361,2593497388.046126,8751182203.877974
71,3904202593.511695,3309204794.940504,4198637790.327353,5785327735.781498,26643035405.511642
72,1600337208.6847126,1010757392.5625736,3077745465.927451,2108217607.9033756,10518732545.029648
73,463997572.0769357,718712704.576097,1205956405.6083894,2119691366.223005,12063347886.07578
74,855709634.8276974,1324817140.8773968,1206649265.8701954,2607488489.2938375,10473542991.091988
75,1321012957.7103305,1728287503.3725426,1450994905.4737995,3869460663.571455,26808569007.367435
76,2360488868.6026397,2301964553.484586,2792598716.9005384,5238553045.12828,26156209805.31593
77,7679825963.773282,2187383701.750484,1650828654.8284614,3856465710.9240446,13547064033.922546
78,2164933506.814269,2728923603.6440973,1788313381.4143271,2607340746.05339,9875237520.848013
79,1679484877.6393077,1927369663.9584403,2313820915.884556,5897512598.70853,32090276947.41298
80,742672038.0654963,2127891924.3528888,3026682571.4392514,4230483775.241677,13783480195.55691
81,1929579702.824738,2004862460.9967918,2775638569.69257,2688143118.83971,12014683993.054764
82,527492004.6694272,418959916.91046035,918200246.5458556,1848702546.7601933,9333313205.664753
83,1184142613.0828464,1265288178.3198576,1006058849.6689657,1855147282.2991662,7541150944.989404
84,822735205.9169567,467050172.0862465,1071319147.0593233,2063306621.8400612,16333314907.866367
85,1711902322.5512486,1101570165.6928868,1264546082.9471383,4031587692.8776665,20447202578.46221
86,2784829232.138717,1308896504.1031609,2568183001.800929,6185571320.661419,18727686768.616383
87,1745703559.1873865,1225961562.8146203,2214875919.6837573,5814720452.89471,25371707491.64827
88,961655656.0221872,1316880298.1575613,1551290420.9437523,3827394602.456316,11304207278.67072
89,790581364.6289957,936715317.8165016,1703816933.2828238,3222158164.673818,8850512320.595203
90,1664866562.1095092,975862880.9647354,1043475778.8684016,1751914544.4964166,12138481121.699791
91,2197853763.393414,1244093266.4482894,1433791326.0960412,2740760572.6252055,21617517378.710865
92,2916516145.6652293,724723249.3466414,1915994718.373105,2751327547.2222614,25283507972.63086
93,1028922237.9073155,1521124116.5535672,2211955986.9230804,4137094154.5220847,84240997948.75537
94,1478962778.0136843,1484960340.495744,1131238601.579843,3576138248.255396,70730481263.0705
95,673560582.3594122,679845647.946027,937429493.9044638,1874054675.3301566,21412869965.492065
96,1124775933.371775,870669632.5163324,1042613218.4276551,1762732479.483937,14373112360.428505
97,1926084808.4875906,1456303577.0209467,481731334.11758083,2530251009.60782,10486604592.811607
98,1569853926.7194517,1252605118.1575112,1206582991.6830022,3464748389.8534446,19020853049.688152
99,1196211784.8208945,1502385853.4967241,1986807449.6750622,4385250380.305987,78598957907.17415
