,delta_power,theta_power,alpha_power,beta_power,gamma_power
69,1686874772.9188623,2577063448.477296,2673219780.6798124,2941803421.104447,6585572027.084709
70,4087905948.3770013,4341293625.157968,2758504248.0805593,2896893216.2152786,8439437771.448822
71,1604696671.3555956,1994094041.1562898,868628906.0268384,2244538515.70066,7242242320.948248
72,591217391.9430046,586280118.3577374,304388456.3564131,910186986.6698451,2381486332.4141665
73,1521870054.520108,1647657877.4824657,1571566787.2904983,2517532742.6496787,5559249991.715958
74,2780241332.210966,1580889065.1075466,1338093301.6160545,2882197156.9870896,5746495581.830568
75,2004918122.3789952,1252364123.45124,954803013.1794984,1203068896.7482836,4033922940.899952
76,3099096924.555499,3047252910.785409,1311905227.6390016,2991609876.321782,9389080216.701532
77,908735932.3302938,630809442.334979,427394504.678257,1920274782.9538167,4872318125.048558
78,2477561625.4165454,824257925.4282663,892225965.8372686,1276628902.4787443,5229755368.444541
79,484569847.8514508,396082635.34355164,253097035.28792542,516876508.53831303,2018611561.7007241
80,2208176829.764579,826433663.4099749,650092748.9786108,2905805751.8387923,5512758093.823433
81,1986391404.5069253,1172076566.3389204,1842735052.3048987,1873475172.138926,9187213956.655006
82,904987120.5076015,1488552286.3355808,369095797.2275717,695745475.1431344,3365940528.211603
83,2295925433.4228873,1526347416.6310673,1345632299.5692105,1249381769.259549,4974614356.471895
84,2223707603.33185,1782843377.6694932,1626347717.411467,2438107645.212999,7060086600.657532
85,1195219755.2289357,2187722215.5874605,909784125.1562747,1804837948.5434043,6445510659.032137
86,1741352895.231871,777406207.7617985,801938618.7634718,1620577985.332346,5507204520.211977
87,2731619860.782424,1297645346.2796636,1417977156.7836852,2184856594.898913,6350141836.324814
88,1521251988.3052514,1583213007.486694,845813982.3382084,1237186868.063972,4748784645.990214
89,2597088491.120723,821965319.0408698,1213540091.6666524,2432900129.4017606,8855694127.52176
90,2902827611.6759806,1859064488.7908616,1190740710.2765117,2261811921.641497,7146727105.157223
91,1494717476.917887,1682877298.650066,1244931859.167561,1980935720.1092544,6191057137.059351
92,950240087.8850462,2035748922.2051182,648194010.9398947,2152519715.0998244,7733535753.926557
93,5059048298.824575,2009779413.8074496,2452866357.830981,2338158482.5040703,9385587418.981863
94,1600029576.9041607,1476145557.5274863,1795614719.2529857,3039829566.237161,7560440664.014929
95,808200707.0477235,1467109541.3648756,1900362278.7395656,1787646663.4123642,8334002591.082872
96,1602821766.6852782,1535490985.8057945,1374300485.3319566,1796622649.8988261,6675975421.64876
97,3079310644.418176,1344265557.876162,942212639.3992702,1796275284.8529603,6797651192.763113
98,929526958.9826221,2037363290.3307724,743580277.5060484,2347805135.777512,8065412561.3162
99,2086724706.1162562,1637096206.105071,543780417.8974345,2393017596.1562757,6794162072.766887
