,delta_power,theta_power,alpha_power,beta_power,gamma_power
37,8094521356.757034,30569355422.06243,36811070224.81275,67337586878.44642,91725457900.86905
38,1018898234.0620469,1169991713.9649487,1950981152.6344914,5863010400.733669,80957079009.4538
39,9589015765.25355,68295965236.422775,133220009011.559,53411521512.15698,54256175167.099205
40,16256078523.549114,27299326622.238205,434194707800.6522,414569290031.8997,546050132374.65125
41,2290060725.0187597,4134978081.536978,6117559624.4098015,68236169763.1061,789891625015.1818
42,3682240078.046056,5295799811.817523,5812821503.905824,36179711625.73438,47613616438.457794
43,15124615747.36099,10203007512.574501,13386366109.06783,629307685115.6014,548437375833.00806
44,27457916391.403027,101005290476.33972,76723138306.42296,52770465160.41598,40246701912.275536
45,5978320030.26576,4532193948.348052,6209697936.289913,248810920817.02383,369767543386.8888
46,9103407752.521275,40824805233.27518,54658423039.68819,428332352235.1197,1735687217075.3848
47,4829214715.17287,4078351009.2853365,5097357793.203753,236890233612.2064,249797803934.26776
48,7590597044.861226,35704461421.51965,51962119335.742546,236522625653.71347,1461473687323.4849
49,893322326.1568977,3237123463.511139,3670565515.81382,58172138047.22214,523886851150.67645
50,5686507702.891341,10130117632.801949,13719681720.329824,56542470162.9547,46023852296.74399
51,4121684869.892401,6214512490.937821,20181926697.01637,139972221331.44662,250664324449.91907
52,11963569222.786287,63531967543.050446,146891465734.61478,70913861213.33691,122076023648.89856
53,1091080514.3862445,986472953.2356997,1635825647.0480049,28869218201.663982,479069111755.12134
54,6019388153.547898,7779192808.876192,13625810107.877474,77620725710.81554,65993811939.978745
55,1874686291.2879033,8336632056.74975,31351304008.54735,62010480345.90051,103404012867.5014
56,1697321048.1497455,3074816500.36701,4268381514.0728245,54997434778.40169,540913214703.1612
57,4425929692.610877,9981718743.627193,25914163894.3598,437326508309.3366,302964121111.7353
58,37719688352.45453,51170783442.89435,35361082614.91512,1455922479339.8118,1489962981265.4658
59,28032348410.965355,243717319089.67987,478805526592.8892,467285438661.7955,662122121865.0713
60,7988811120.614078,1600347458.5241203,1168793059.592081,16458110294.815681,459029353641.6884
61,9826693766.379557,34997224158.83165,29911972592.694923,204851956533.88617,402875382410.7145
62,954490017.4831338,2000451065.7441583,4531857112.994854,13572164608.479916,106489475553.01407
63,4655222216.249687,14908380066.813335,11523449588.781193,43453919480.206314,67031517541.249054
64,94967934190.629,137719101545.0161,108588210764.06046,532204127323.8659,301155133028.5491
65,7369291869.040997,15999013793.7659,29545079070.194958,300321798100.52795,301118855829.93616
66,4913698117.2499075,21865133361.42267,83620641242.01634,692899613204.3523,1126824996110.598
67,7192637747.077654,29409365413.498627,66612281938.20437,386973869731.5059,1821056659916.56
68,15093795222.632566,59794211156.38748,143500080264.03232,70158525095.87581,129250925069.45601
69,467387923.3458512,1723301416.0600662,3004442994.091309,21083722120.500973,260823686133.4989
70,6934684812.622414,53969920357.080124,37043410223.846664,28833423272.210552,58058487269.39198
71,1193212924.0789216,1802289203.0357776,5617188103.316189,46724169932.9512,436982725935.781
72,5317102027.493904,10683383273.206459,46112319678.207214,429306127075.1708,369694228123.31824
73,3005012368.3040614,26383020041.145706,20083154900.115543,15704076710.045687,26079739282.30791
74,1676402217.3094516,2852509284.330899,5754453166.690723,39931064575.37632,274669869861.93155
75,8862013575.930887,25399387851.18257,97176243730.62169,378769302752.1138,1171479637294.208
76,3121105560.793183,8834575127.076931,8475202212.355664,29976087284.31908,53333343285.0573
77,3050670637.6441817,2870337018.0381813,9478278130.814253,37327031948.733055,74483860488.23581
78,19632664884.247025,25512196898.46634,29042826843.389156,264045259691.67206,1750167480769.5303
79,616239296.7695159,2127300607.573701,6176316232.633331,125512268105.66698,2096655326383.1377
80,45454206965.71266,45045053475.45746,189682222499.2963,796476271981.4939,536395781267.9813
81,4192628902.7692413,3742241460.844837,3959524191.0123234,65732722121.39357,1212183353928.5273
82,1477506085.792538,1873632628.0103483,1500281873.4153967,5726807002.811912,57622740413.42525
83,13510312991.79187,45602101651.28679,40037012567.05923,34761305730.35159,23558529849.128937
84,6187764485.820588,22728654655.795906,39466979693.435165,452251701559.54584,938157312051.8202
85,1400411099.4794695,4877016783.10027,6032350621.095882,10966049600.737051,189557599191.75403
86,6393093684.345006,17601463190.28476,68281507645.56416,662229792356.5581,412604074884.6732
87,1745898134.4382648,2639720993.040515,5679599462.005534,37150590740.07301,233634926239.4964
88,11121186962.173044,61037515264.97348,119575145208.61516,45802017196.270935,47719782283.95958
89,4876073955.5430355,18310700605.007996,19645608980.34761,113328230207.7194,372274308120.3199
90,10773177454.948055,13734224675.487988,24067952829.72083,591566516571.5304,700520851996.8489
91,3515312203.6047463,7076590307.777563,20318612978.898804,266371435770.44354,254656041453.32495
92,19017483506.356907,125420308790.53142,492434032514.7952,589966676888.3816,673194040276.4486
93,2144925362.0147126,3792283065.6346865,5474683788.604433,60471579214.19689,655125613521.2427
94,869993560.897182,1093114884.1445847,2316861507.5934124,14150839608.88804,389814473602.82385
95,1176892970.3842592,3420580123.908636,5414156981.373094,14535507109.496695,70951382632.08542
96,3113544294.8447447,3316408547.872259,9179465794.066095,186717615088.5488,2318221194394.0635
97,1040876590.7741276,1743719561.4063253,3045378070.4367604,46727596660.9734,654044902124.2955
98,10981302714.549294,14841822090.803938,25666964436.97635,196727246771.7012,840628988680.5314
99,8558170037.083996,6334205559.199532,4970439491.111347,90003003776.94214,435512073599.4155
